NMUESTRA,LONGITUD,LATITUD,ELEVACION,Pathf Au-Ag,Perjudiciales lixivcn,,,,,,,,,,,,
13196,800987.28,80633.94,1996.61,-4.798808809,-7.239767773,,,,,,,,,,,,
13199,806116.31,92728.60,818.24,-5.182050296,-7.495322392,,,,,,,,,,,,
13202,809916.08,91274.92,921.49,-5.270594535,-7.820381468,,,,,,,,,,,,
13206,796990.79,96344.84,756.93,-5.066975715,-7.486969496,,,,,,,,,,,,
13216,799850.89,80172.49,1802.22,-5.065541272,-7.4280856,,,,,,,,,,,,
13218,799523.41,95463.38,718.03,-5.346462948,-7.820848927,,,,,,,,,,,,
13224,792409.53,82321.53,1599.9,-5.205107861,-7.881939457,,,,,,,,,,,,
13226,793332.95,89008.44,1137.95,-5.315601887,-7.837607464,,,,,,,,,,,,
13229,789863.47,94099.42,700.67,-5.297769991,-7.867582011,,,,,,,,,,,,
13238,792989.35,89025.74,1054.1,-5.278082113,-7.732531787,,,,,,,,,,,,
13243,800144.99,81169.70,1979.99,-5.012852515,-7.241484641,,,,,,,,,,,,
13245,802097.63,92433.63,1207.85,-5.176383026,-7.636709276,,,,,,,,,,,,
13249,805180.49,92779.85,800.85,-5.186351819,-7.502095054,,,,,,,,,,,,
13253,792736.54,89252.68,1066.1,-5.317671715,-7.84047421,,,,,,,,,,,,
13259,802589.85,92192.03,1200.14,-5.01868839,-7.519013313,,,,,,,,,,,,
13262,789145.51,90994.43,900.82,-5.28944624,-7.844077854,,,,,,,,,,,,
13264,801471.00,95670.17,800.55,-5.0740436,-7.303452031,,,,,,,,,,,,
13265,798375.08,79710.71,1790.57,-4.931803738,-7.203399002,,,,,,,,,,,,
13266,789674.55,94041.43,701.06,-4.957416264,-7.22200651,,,,,,,,,,,,
13274,794009.09,80091.25,1799.64,-4.884221062,-7.075735123,,,,,,,,,,,,
13279,810300.48,92352.93,1019.48,-5.294526397,-7.83515554,,,,,,,,,,,,
13283,801864.19,88021.28,1602.02,-5.0743235,-7.377271681,,,,,,,,,,,,
13285,799479.59,92068.75,1198.92,-5.157140353,-7.695472379,,,,,,,,,,,,
13286,809678.41,79409.46,1811.43,-4.319297548,-5.222599401,,,,,,,,,,,,
13298,802806.41,90558.70,1396.89,-4.842779416,-6.772171162,,,,,,,,,,,,
13302,809661.67,79300.73,1803.36,-4.657080653,-6.723683046,,,,,,,,,,,,
13307,789764.00,87517.27,1012.95,-5.173143145,-7.722364046,,,,,,,,,,,,
13310,794590.34,83657.77,1400.47,-5.02059246,-7.355711502,,,,,,,,,,,,
13312,810066.23,78879.61,1741.16,-4.848861214,-6.577642338,,,,,,,,,,,,
13317,789276.87,88200.21,1001.33,-5.296564667,-7.881335225,,,,,,,,,,,,
13321,793547.32,86057.21,1222.91,-5.299297589,-7.7453365,,,,,,,,,,,,
13322,799506.31,96334.08,724.57,-5.075286517,-7.468189662,,,,,,,,,,,,
13328,790058.62,87295.14,1041,-5.271633122,-7.822324411,,,,,,,,,,,,
13329,792581.27,90249.34,994.2,-5.301657689,-7.88692396,,,,,,,,,,,,
13339,792672.81,90242.00,988.66,-5.322555529,-7.852577161,,,,,,,,,,,,
13342,787997.98,89980.83,990.17,-5.263865331,-7.780447586,,,,,,,,,,,,
13344,803016.57,90518.76,1400.36,-5.034449229,-7.310532351,,,,,,,,,,,,
13350,793346.25,88504.96,1200.83,-5.274712938,-7.713010859,,,,,,,,,,,,
13377,787099.36,83764.28,1199.81,-5.237842146,-7.91890455,,,,,,,,,,,,
13419,788181.71,81909.67,1399.6,-5.309433111,-7.847520801,,,,,,,,,,,,
13504,793860.81,80795.67,1799.47,-4.836272927,-6.873822468,,,,,,,,,,,,
13528,786512.65,84692.39,1200.28,-5.129978923,-7.520600344,,,,,,,,,,,,
13532,789937.04,84484.00,1397.69,-5.091210297,-7.564231255,,,,,,,,,,,,
13548,788262.11,83698.12,1200.11,-5.249440112,-7.806316767,,,,,,,,,,,,
13575,789867.57,79618.39,1601.01,-5.199691105,-7.696199125,,,,,,,,,,,,
13591,788355.09,85235.30,1198.52,-5.330818167,-7.941557097,,,,,,,,,,,,
13663,794255.31,80164.62,1799.72,-5.106348953,-7.407321377,,,,,,,,,,,,
13664,788163.42,81158.58,1399.59,-5.130348316,-7.56517317,,,,,,,,,,,,
13673,788310.03,83816.42,1210,-5.2452999,-7.752363634,,,,,,,,,,,,
13697,786794.80,84765.09,1199.9,-5.168409713,-7.735632872,,,,,,,,,,,,
13795,788234.03,83481.45,1199.4,-5.240616081,-7.877679714,,,,,,,,,,,,
13835,803851.05,80679.71,2613.99,-4.936626771,-7.318552927,,,,,,,,,,,,
13876,784591.22,85001.60,1399.91,-5.098282225,-7.715889384,,,,,,,,,,,,
13882,803756.44,80887.70,2600.01,-5.013591684,-7.400881609,,,,,,,,,,,,
13914,803051.49,80675.98,2394.07,-5.072523174,-7.467303946,,,,,,,,,,,,
14050,785424.94,84940.77,1380.04,-5.141312734,-7.768423129,,,,,,,,,,,,
14061,789227.04,79639.12,1599.92,-5.211027177,-7.770471087,,,,,,,,,,,,
14092,788311.49,81397.84,1399.72,-5.213969216,-7.809946937,,,,,,,,,,,,
14099,788630.12,79980.41,1555.08,-5.10153055,-7.477730607,,,,,,,,,,,,
14108,785752.39,82159.10,1401.43,-5.189587835,-7.89926688,,,,,,,,,,,,
14134,792568.77,82323.96,1599.92,-4.997706271,-7.409110588,,,,,,,,,,,,
14137,788619.13,80931.33,1399.76,-5.340650371,-7.972257073,,,,,,,,,,,,
14181,788815.05,79793.82,1598.06,-5.112519422,-7.590230708,,,,,,,,,,,,
14214,791190.64,81423.21,1599.32,-5.183027905,-7.786574501,,,,,,,,,,,,
14228,786273.30,86674.67,1164.07,-5.28948152,-7.876948836,,,,,,,,,,,,
14237,791179.52,82664.39,1399.93,-5.182011308,-7.822207403,,,,,,,,,,,,
14256,789146.31,85661.36,1199.18,-5.183468513,-7.774127478,,,,,,,,,,,,
14267,787094.90,83973.27,1199.89,-5.098817258,-7.597225771,,,,,,,,,,,,
14304,787293.17,84033.72,1199.9,-5.153103556,-7.662507427,,,,,,,,,,,,
14309,794374.22,79036.32,1799.11,-4.973386181,-7.410854194,,,,,,,,,,,,
14338,791272.98,81547.95,1600.38,-5.343919978,-7.944383174,,,,,,,,,,,,
14354,786528.84,86234.63,1156.28,-5.338523926,-7.984965683,,,,,,,,,,,,
14370,787663.58,85432.67,1199.9,-5.126359157,-7.630845329,,,,,,,,,,,,
14371,788491.76,82002.92,1397.9,-5.220745073,-7.794559757,,,,,,,,,,,,
14376,788157.31,80130.46,1421.18,-5.34492931,-8.018611898,,,,,,,,,,,,
14381,793187.57,81376.53,1607.32,-5.078488359,-7.520519643,,,,,,,,,,,,
14391,791166.65,82755.62,1399.71,-5.137262104,-7.71230643,,,,,,,,,,,,
14409,787929.09,80225.41,1409.02,-5.289963631,-7.83496458,,,,,,,,,,,,
14435,793778.71,80985.95,1797.87,-4.870647244,-6.798241843,,,,,,,,,,,,
14448,789946.83,84562.00,1397.6,-5.142560625,-7.793522481,,,,,,,,,,,,
14466,789956.77,83117.73,1399.91,-5.30013458,-7.944780529,,,,,,,,,,,,
14470,784666.34,85125.58,1399.8,-5.145007864,-7.850448513,,,,,,,,,,,,
14478,785321.27,84916.73,1392.73,-5.197067417,-7.866030535,,,,,,,,,,,,
14488,787502.82,82725.10,1208.38,-5.26774412,-7.909347933,,,,,,,,,,,,
14497,787674.08,82533.42,1227.76,-5.247665278,-7.896217249,,,,,,,,,,,,
14536,788200.06,84023.09,1200.14,-5.21932116,-7.757386234,,,,,,,,,,,,
14537,793710.64,80654.85,1798.76,-4.859767005,-6.760164433,,,,,,,,,,,,
